,store_name,address,zip,new_status,last_updated,location
0,Jewel - Osco,87 W 87th St,60620,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.626243, 41.736172]}"
1,Farm on Ogden,3555 W OGDEN AVE,60623,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.71437, 41.854608]}"
2,Jewel - Osco,5343 N Broadway St,60640-2311,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.659887, 41.978998]}"
3,International Foods NW,4404 W FULLERTON AVE,60639,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.737127, 41.924425]}"
4,Jewel - Osco,2520 N Narragansett Ave,60639-1041,OPEN,2020-06-03T17:00:00.000,"{'type': 'Point', 'coordinates': [-87.785559, 41.926236]}"
5,Mariano's Fresh Market,40 S Halsted St,60661-3506,OPEN,,"{'type': 'Point', 'coordinates': [-87.647384, 41.880557]}"
6,Mariano's Fresh Market,3145 South Ashland Ave,60608,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.66563800000002, 41.836512]}"
7,Aldi,7800 S South Chicago Ave,60619-2724,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.587472, 41.752778]}"
8,Food 4 Less,7030 S Ashland Ave,60636-3948,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.663901, 41.765174]}"
9,Whole Foods Market,1 N Halsted St,60661-2176,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.647331, 41.882501]}"
10,Ted's Fresh Market,2840 W Devon Ave,60645,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.701088, 41.99753]}"
11,Aldi,4645 W. Diversy Ave,60639,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.743743, 41.931592]}"
12,Foodsmart,3415 W Diversey Ave,60647,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.712866, 41.931959]}"
13,Shop & Save Market,6312 N Nagle Ave,60646,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.787504, 41.996164]}"
14,La Cienega Super Food,10736 S EWING AVE,60617,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.535294, 41.699723]}"
15,Chicago Produce,3500 W Lawrence Ave,60625-5612,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.715926, 41.968373]}"
16,Paulina Super Market,7622 N Paulina St,60626-1018,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.673098, 42.020029]}"
17,Save A Lot,5555 W North Ave,60639,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.765278, 41.90935000000001]}"
18,Food 4 Less,112 W 87Th St Ste G1,60620-1318,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.628203, 41.736274]}"
19,Fresh Marketplace,2134 N Western Ave,60647,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.68756200000001, 41.920967000000005]}"
20,Aldi,4030 W Wrightwood Ave,60639-2125,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.728091, 41.928127]}"
21,Pete's Fresh Market,4343 S Pulaski Rd.,60632,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.723709, 41.813795]}"
22,Walmart Neighborhood Market,4720 S Cottage Grove Ave,60615-1612,CLOSED,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.606539, 41.80867]}"
23,Fresh Marketplace,5020 W Fullerton Ave,60639,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.75198, 41.924229]}"
24,Aldi,1753 N Milwaukee Ave,60647-5423,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.681868, 41.913241]}"
25,Costco,1430 S Ashland Ave,60608-2040,OPEN,2020-06-04T15:00:00.000,"{'type': 'Point', 'coordinates': [-87.666318, 41.862387]}"
26,Target,1664 W Division St,60622-3922,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.670037, 41.90332]}"
27,Morse Fresh Market,1430 W MORSE AVE,60626,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.667272, 42.007928]}"
28,Local Market,2101 E 71ST ST,60649,OPEN,2020-06-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-87.574498, 41.766083]}"
29,Target,1200 N Larrabee St,60610-1746,OPEN,2020-06-05T13:21:00.000,"{'type': 'Point', 'coordinates': [-87.643205, 41.903741]}"
30,Aldi,5001 N Pulaski Rd,60630-2706,OPEN,,"{'type': 'Point', 'coordinates': [-87.728134, 41.972832]}"
