,legal name,doing business as name,zip code,location,matches,type
0,"PANDA EXPRESS, INC.",PANDA EXPRESS #3372,60612.0,"(41.87245400823047, -87.6774421782623)",PANDA EXPRESS,Fast Food
1,"PANDA EXPRESS, INC.",PANDA EXPRESS #1149,60601.0,"(41.884588371969095, -87.62327256105529)",PANDA EXPRESS,Fast Food
2,"PANDA EXPRESS, INC.",PANDA EXPRESS #2012,60605.0,"(41.87534753894505, -87.62747294785208)",PANDA EXPRESS,Fast Food
3,"PANDA EXPRESS, INC.",PANDA EXPRESS #1422,60643.0,"(41.67761705588747, -87.66311314586792)",PANDA EXPRESS,Fast Food
4,"PANDA EXPRESS, INC.","PANDA EXPRESS, INC #1102",60602.0,"(41.881965330252534, -87.62679322159418)",PANDA EXPRESS,Fast Food
5,"PANDA EXPRESS, INC.",PANDA EXPRESS #1975,60614.0,"(41.92521232759425, -87.67192542513618)",PANDA EXPRESS,Fast Food
6,"PANDA EXPRESS, INC.",PANDA EXPRESS RESTAURANT #2685,60638.0,"(41.77469454158943, -87.74201330080811)",PANDA EXPRESS,Fast Food
7,"PANDA EXPRESS, INC.",PANDA EXPRESS RESTAURANT #2693,60623.0,"(41.84471917976142, -87.70021954422081)",PANDA EXPRESS,Fast Food
8,"PANDA EXPRESS, INC.",PANDA EXPRESS # 1370,60661.0,"(41.88199433820508, -87.6397586848809)",PANDA EXPRESS,Fast Food
9,"PANDA EXPRESS, INC.",PANDA EXPRESS #591,60606.0,"(41.87800606262711, -87.63402203216754)",PANDA EXPRESS,Fast Food
10,"PANDA EXPRESS, INC.",PANDA EXPRESS #2840,60607.0,"(41.86586030397201, -87.63934992374816)",PANDA EXPRESS,Fast Food
11,"PANDA EXPRESS, INC.",PANDA EXPRESS #299,60603.0,"(41.879436242790305, -87.62485435905238)",PANDA EXPRESS,Fast Food
12,"PANDA EXPRESS, INC.",PANDA EXPRESS #389,60601.0,"(41.88458626715456, -87.63101044588599)",PANDA EXPRESS,Fast Food
13,"PANDA EXPRESS, INC.",PANDA EXPRESS #1878,60611.0,"(41.89168851736832, -87.62430717812579)",PANDA EXPRESS,Fast Food
14,"PANDA EXPRESS, INC.",PANDA EXPRESS #1345,60659.0,"(41.99461890116721, -87.71402044444585)",PANDA EXPRESS,Fast Food
15,"PANDA EXPRESS, INC.",PANDA EXPRESS #2456,60618.0,"(41.94654251477401, -87.70247583120907)",PANDA EXPRESS,Fast Food
16,"PANDA EXPRESS, INC.",PANDA EXPRESS #2522,60601.0,"(41.885353703982936, -87.62641328540737)",PANDA EXPRESS,Fast Food
17,"RMC LOOP ENTERPRISES, LLC",MCDONALD'S,60603.0,"(41.88138628442378, -87.63071954393341)",MCDONALD'S,Fast Food
18,"RMC LOOP ENTERPRISES, LLC",MCDONALD'S,60606.0,"(41.878531278353606, -87.63942745962717)",MCDONALD'S,Fast Food
19,CANADY ENTERPRISE CORP_V,MCDONALDS,60611.0,"(41.892249163400116, -87.60951804879336)",MCDONALD'S,Fast Food
20,MIDAN INC,MCDONALDS #5471,60639.0,"(41.90988086805636, -87.73515820036943)",MCDONALD'S,Fast Food
21,"KARAVITES RESTAURANT 7690, LLC",MCDONALD'S,60611.0,"(41.894066511364784, -87.61760751368801)",MCDONALD'S,Fast Food
22,"INFINITE BUENA VIDA, LLC",HALE FAMILY MCDONALD'S,60628.0,"(41.6855811783059, -87.60820711529922)",MCDONALD'S,Fast Food
23,"MCDONALD'S RESTAURANTS OF ILLINOIS, INC.",MCDONALD'S #4308,60632.0,"(41.82315834507904, -87.68923664723573)",MCDONALD'S,Fast Food
24,ELSTON ARCHES CORPORATION,MCDONALD'S RESTAURANT,60646.0,"(41.9928754427605, -87.78352148458839)",MCDONALD'S,Fast Food
25,TAYLOR ASHLAND INC.,MCDONALD'S  #5293,60620.0,"(41.742420824438476, -87.6630911433338)",MCDONALD'S,Fast Food
26,CAGUAX LTD.,MCDONALDS,60666.0,"(42.008536400868735, -87.91442843927047)",MCDONALD'S,Fast Food
27,"JEM 2,  LLC",MC DONALDS # 25509,60639.0,"(41.931483591781685, -87.74199187144147)",MCDONALD'S,Fast Food
28,GFUNK KEDZIE CORPORATION,MCDONALDS,60659.0,"(41.990254848131904, -87.71076324353396)",MCDONALD'S,Fast Food
29,OMAKIN RESTAURANTS LLC,MCDONALD'S RESTAURANT,60636.0,"(41.77836097603761, -87.66433686342792)",MCDONALD'S,Fast Food
30,"MYD HOLDINGS, LLC - D",MCDONALD'S # 17274,60666.0,"(42.008536400868735, -87.91442843927047)",MCDONALD'S,Fast Food
31,"KARAVITES RESTAURANT 5230, LLC",MCDONALD'S,60626.0,"(42.004692640610834, -87.67303568688851)",MCDONALD'S,Fast Food
32,TAYLOR ILLINOIS-CENTER INC.,MCDONALD'S 25088,60601.0,"(41.886567370886944, -87.62438467059714)",MCDONALD'S,Fast Food
