,zipcode,total_population,perc_female,perc_minority,perc_black,perc_hispanic,perc_unemployed,median_income,perc_poverty,perc_homeowners,Chains,Fast Food,grocery_store,fs_ratio,pr_fs_ratio,death_rate_cumulative
0,60601,15083.0,53.4,24.24,4.59,8.12,4.5,103112.0,0.7,33.4,9.0,53.0,4.0,12.6,10.11,68.1
1,60602,1145.0,44.19,32.31,4.28,6.46,0.2,191528.0,0.0,42.2,5.0,19.0,0.0,25.0,29.31,80.4
2,60603,1052.0,50.29,35.93,3.9,3.23,9.1,146250.0,0.0,57.2,5.0,18.0,1.0,12.0,20.26,0.0
3,60604,823.0,52.37,34.14,4.98,3.4,7.5,91750.0,9.1,28.9,4.0,20.0,0.0,25.0,10.99,0.0
4,60605,29060.0,54.81,33.42,15.32,7.52,3.3,111438.0,3.3,48.9,5.0,23.0,3.0,7.25,12.42,32.7
5,60606,3287.0,48.86,25.86,1.76,5.72,2.1,140558.0,3.7,44.8,13.0,48.0,0.0,62.0,19.15,32.2
6,60607,29293.0,49.71,37.79,14.34,7.34,6.5,102726.0,4.9,41.8,9.0,35.0,3.0,11.25,11.69,16.9
7,60608,80059.0,44.47,53.01,17.0,48.69,6.8,50133.0,15.3,37.3,11.0,34.0,14.0,3.07,3.99,151.5
8,60609,60939.0,50.51,53.93,25.08,52.99,15.0,37353.0,23.8,37.5,10.0,31.0,5.0,7.0,5.62,188.6
9,60610,40548.0,53.1,24.98,14.9,6.23,3.2,92130.0,5.8,39.3,6.0,22.0,7.0,3.62,8.95,64.1
10,60611,33224.0,53.32,22.98,2.91,4.73,3.0,106906.0,4.3,46.7,11.0,40.0,4.0,10.4,11.7,33.9
11,60612,33735.0,52.71,68.38,59.65,12.02,9.9,43545.0,23.2,27.8,3.0,20.0,1.0,12.0,5.2,157.4
12,60613,50761.0,49.46,14.78,6.01,11.12,3.0,84318.0,3.7,40.1,9.0,21.0,5.0,5.17,6.47,79.8
13,60614,71954.0,49.02,13.21,4.28,6.17,2.6,117138.0,2.3,44.9,16.0,49.0,11.0,5.5,13.34,116.4
