As of Year,Respondent ID,Agency Code,Loan Type,Property Type,Loan Purpose,Occupancy,Loan Amount (000s),Preapproval,Action Type,MSA/MD,State Code,County Code,Census Tract Number,Applicant Ethnicity,Co Applicant Ethnicity,Applicant Race 1,Applicant Race 2,Applicant Race 3,Applicant Race 4,Applicant Race 5,Co Applicant Race 1,Co Applicant Race 2,Co Applicant Race 3,Co Applicant Race 4,Co Applicant Race 5,Applicant Sex,Co Applicant Sex,Applicant Income (000s),Purchaser Type,Denial Reason 1,Denial Reason 2,Denial Reason 3,Rate Spread,HOEPA Status,Lien Status,Edit Status,Sequence Number,Population,Minority Population (Percent),FFIEC Median Family Income,Tract to MSA/MD Income (Percent),Number of Owner-occupied units,Number of 1-to 4-Family units,Application Date Indicator
2015,47,1,1,1,1,2,125,2,1,16974,17,31,314,2,2,2, , , , ,2, , , , ,1,2,0151,3, , , ,NA   ,2,1,6,517,5150,25.75,77700,141.29,00002160,196,0
2015,56,1,1,1,2,1,11,3,1,16974,17,31,5501.00,3,5,6, , , , ,8, , , , ,3,5,0050,0, , , ,NA   ,2,3,6,55,6628,56.8,77700,91.71,00001892,2954,0
2015,56,1,1,1,1,1,100,3,1,16974,17,31,8299.01,2,5,5, , , , ,8, , , , ,2,5,0108,6, , , ,NA   ,2,1,6,171,8744,70.39,77700,93.73,00003182,3400,0
2015,56,1,1,1,1,1,142,3,1,16974,17,31,8299.01,2,5,3, , , , ,8, , , , ,1,5,0095,1, , , ,NA   ,2,1,6,538,8744,70.39,77700,93.73,00003182,3400,0
2015,56,1,1,1,1,1,270,3,1,16974,17,31,8184.01,2,2,5, , , , ,5, , , , ,1,2,0260,0, , , ,NA   ,2,1,6,978,3634,52.26,77700,111.38,00000940,1150,0
2015,56,1,1,1,1,1,168,3,1,16974,17,31,8221.02,2,5,5, , , , ,8, , , , ,1,5,0140,0, , , ,NA   ,2,1,6,2356,4414,34.48,77700,103.96,00001510,1505,0
2015,56,1,1,1,3,1,219,3,1,16974,17,31,8237.02,2,2,5, , , , ,5, , , , ,1,2,0101,0, , , ,NA   ,2,1,6,2640,6650,24.03,77700,88.53,00001703,1597,0
2015,151,5,1,1,3,1,162,3,3,16974,17,31,8070.00,2,2,5, , , , ,5, , , , ,1,2,0101,0,1, , ,NA   ,2,1, ,674,5736,52.56,77700,94.91,00000872,1641,0
2015,151,5,1,1,3,1,180,3,2,16974,17,31,8045.05,2,2,5, , , , ,5, , , , ,1,2,0116,0, , , ,NA   ,2,1, ,891,3831,26.42,77700,91.03,00001174,1365,0
2015,151,5,1,1,1,1,450,2,3,16974,17,31,8240.05,2,2,3, , , , ,3, , , , ,1,2,0236,0,3, , ,NA   ,2,1, ,933,5539,8.21,77700,133.02,00001626,1873,0
2015,151,5,1,1,2,1,7,3,1,16974,17,31,8201.03,3,5,6, , , , ,8, , , , ,1,5,0025,0, , , ,NA   ,2,3, ,1022,4016,24.15,77700,113.21,00000979,1000,0
2015,151,5,1,1,2,1,12,3,4,16974,17,31,8339.00,2,5,3, , , , ,8, , , , ,2,5,0048,0, , , ,NA   ,2,3, ,1052,2714,98.42,77700,36.97,00000259,983,0
2015,151,5,1,1,2,1,30,3,1,16974,17,31,2405.00,2,5,5, , , , ,8, , , , ,2,5,0138,0, , , ,NA   ,2,3, ,1059,2251,18.66,77700,173.57,00000662,455,0
2015,233,5,1,1,2,1,100,3,3,16974,17,31,8342.00,2,5,6, , , , ,8, , , , ,2,5,0055,0,3,4, ,NA   ,2,1,6,101,4944,99.6,77700,62.82,00000764,1847,0
2015,435,5,1,1,3,1,285,3,3,16974,17,31,8048.05,2,5,5, , , , ,8, , , , ,1,5,0086,0, , , ,NA   ,2,1,6,222,6911,30.69,77700,107.59,00002082,2430,0
2015,435,5,1,1,2,1,7,3,3,16974,17,31,6504.00,2,5,3, , , , ,8, , , , ,2,5,0044,0,9, , ,NA   ,2,2,6,409,6743,90.89,77700,62.71,00001288,1683,0
2015,435,5,1,1,2,2,35,3,3,16974,17,31,4110.00,2,5,5, , , , ,8, , , , ,1,5,0133,0,4, , ,NA   ,2,2,6,666,3309,50.59,77700,144.28,00000787,157,0
2015,622,3,1,1,1,1,1364,3,6,16974,17,31,8003.00,4,4,7, , , , ,7, , , , ,4,4,NA  ,0, , , ,NA   ,2,4, ,419,3501,6.83,77700,300.89,00001076,1105,2
2015,857,5,1,1,3,1,74,3,3,16974,17,31,813.00,2,5,3, , , , ,8, , , , ,2,5,0019,0,1, , ,NA   ,2,1,6,628,4884,18.76,77700,289.76,00002365,60,0
2015,857,5,1,1,1,1,184,3,1,16974,17,31,102.01,2,5,2, , , , ,8, , , , ,1,5,0163,0, , , ,NA   ,2,1,6,862,6450,76.73,77700,61.63,00000931,893,0
2015,857,5,1,1,1,1,108,3,1,16974,17,31,8047.11,3,5,6, , , , ,8, , , , ,3,5,0157,0, , , ,NA   ,2,1,6,1492,7442,57.3,77700,97.96,00001816,2056,0
2015,861,5,1,1,3,1,118,3,4,16974,17,31,8298.00,2,2,5, , , , ,5, , , , ,1,2,0130,0, , , ,NA   ,2,1,6,18,6820,48.96,77700,152.57,00002355,2187,0
2015,861,5,1,1,3,1,100,3,1,16974,17,31,8120.00,2,2,5, , , , ,5, , , , ,1,2,0120,0, , , ,NA   ,2,2,6,113,5434,17.32,77700,188.58,00001892,1620,0
2015,902,3,1,1,3,2,818,3,1,16974,17,31,2431.00,2,2,2, , , , ,2, , , , ,2,1,0644,0, , , ,NA   ,2,1,6,56,2242,56.33,77700,89.79,00000378,839,0
2015,902,3,1,1,3,1,225,3,2,16974,17,31,1504.01,1,1,5, , , , ,5, , , , ,2,1,0136,0, , , ,NA   ,2,1,6,151,4793,32.05,77700,92.3,00001246,1684,0
2015,902,3,1,1,1,1,417,3,3,16974,17,31,8041.09,2,5,5, , , , ,8, , , , ,1,5,0129,0,4, , ,NA   ,2,1,6,477,2955,14.38,77700,167.94,00000948,938,0
2015,903,3,1,1,2,1,15,3,1,16974,17,31,8197.00,2,2,5, , , , ,5, , , , ,1,2,0151,0, , , ,NA   ,2,2, ,1,5917,5.93,77700,188.81,00001792,1899,0
2015,903,3,1,1,1,1,72,3,1,16974,17,31,8122.00,2,2,5, , , , ,5, , , , ,1,2,0170,0, , , ,NA   ,2,2, ,2,3942,24.48,77700,242.56,00001246,1289,0
2015,903,3,1,1,1,1,180,3,1,16974,17,31,1203,2,2,5, , , , ,5, , , , ,2,1,0272,0, , , ,NA   ,2,2, ,3,6365,27.71,77700,183.6,00002063,2350,0
2015,903,3,1,1,1,1,1500,3,1,16974,17,31,8004.00,3,3,6, , , , ,6, , , , ,3,3,1224,0, , , ,NA   ,2,2,6,5,3762,6.83,77700,346.28,00001125,1240,0
2015,903,3,1,1,1,1,148,3,1,16974,17,31,309.00,2,2,5, , , , ,5, , , , ,1,2,0128,0, , , ,NA   ,2,2, ,6,3028,38.38,77700,102.65,00000676,987,0
2015,903,3,1,1,2,1,75,3,1,16974,17,31,2422.00,2,5,5, , , , ,8, , , , ,1,5,0106,0, , , ,NA   ,2,2, ,7,3590,29.69,77700,116.99,00000721,1584,0
2015,903,3,1,1,1,1,400,3,1,16974,17,31,505.00,2,5,5, , , , ,8, , , , ,2,5,0248,0, , , ,NA   ,2,1, ,8,4754,17.42,77700,152.2,00001171,1965,0
2015,903,3,1,1,2,1,120,3,1,16974,17,31,302.00,2,2,5, , , , ,5, , , , ,1,2,0128,0, , , ,NA   ,2,2, ,9,5369,33.19,77700,108.21,00001174,1484,0
2015,903,3,1,1,1,1,15,3,1,16974,17,31,8253.04,2,5,5, , , , ,8, , , , ,1,5,0180,0, , , ,NA   ,2,2, ,10,4056,15.46,77700,110.73,00001366,1175,0
2015,903,3,1,1,2,1,5,3,3,16974,17,31,8210.02,2,5,5, , , , ,8, , , , ,2,5,0049,0,1,3, ,NA   ,2,1, ,11,5593,24.39,77700,110.08,00001491,1668,0
2015,903,3,1,1,3,1,155,3,1,16974,17,31,8211.02,2,2,5, , , , ,5, , , , ,1,3,0070,6, , , ,NA   ,2,1, ,12,4047,40.08,77700,78.13,00001040,1244,0
2015,903,3,1,1,3,1,100,3,3,16974,17,31,8255.03,2,5,5, , , , ,8, , , , ,1,5,0079,0,1, , ,NA   ,2,1, ,13,6608,82.66,77700,106.36,00001926,2325,0
2015,903,3,1,1,1,1,156,3,1,16974,17,31,8413.00,2,2,5, , , , ,5, , , , ,1,2,0103,6, , , ,NA   ,2,1, ,15,4463,87.41,77700,48.25,00000525,1601,0
2015,903,3,1,1,3,2,322,3,1,16974,17,31,8128.02,2,2,5, , , , ,5, , , , ,1,2,0223,6, , , ,NA   ,2,1, ,19,2444,34.04,77700,134.55,00000594,402,0
2015,903,3,1,1,3,1,555,3,3,16974,17,31,8326.00,2,2,5, , , , ,5, , , , ,1,2,0255,0,1, , ,NA   ,2,1, ,20,3727,10.68,77700,268.15,00001252,1376,0
2015,903,3,1,1,3,1,90,3,3,16974,17,31,817.00,2,5,5, , , , ,8, , , , ,1,5,0194,0,7,9, ,NA   ,2,1, ,22,3102,36.52,77700,150.81,00000559,184,0
2015,903,3,1,1,3,1,405,3,3,16974,17,31,8239.01,2,2,5, , , , ,5, , , , ,1,2,0190,0,4, , ,NA   ,2,1, ,23,3519,12.76,77700,152.58,00001441,1582,0
2015,903,3,1,1,3,1,140,3,1,16974,17,31,3301.00,2,5,5, , , , ,8, , , , ,2,5,0092,6, , , ,NA   ,2,1, ,26,16735,49.09,77700,174.89,00004075,963,0
2015,903,3,1,1,3,2,50,3,1,16974,17,31,632.00,2,2,5, , , , ,5, , , , ,1,2,0143,0, , , ,NA   ,2,1, ,27,6345,20.69,77700,154.49,00001287,302,0
2015,903,3,1,1,3,2,50,3,1,16974,17,31,632.00,2,2,5, , , , ,5, , , , ,1,2,0142,0, , , ,NA   ,2,1, ,28,6345,20.69,77700,154.49,00001287,302,0
2015,903,3,1,1,1,2,173,3,1,16974,17,31,8227.01,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,29,4181,31.26,77700,97.9,00001738,1245,0
2015,903,3,1,1,1,2,750,3,1,16974,17,31,501.00,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,30,2290,20.74,77700,150.43,00000427,776,0
2015,903,3,1,1,3,2,529,3,1,16974,17,31,2513.00,4,2,7, , , , ,5, , , , ,4,1,NA  ,0, , , ,NA   ,2,1,6,31,4921,98.92,77700,46.32,00000655,1835,0
2015,903,3,1,3,3,3,1459,3,1,16974,17,31,2516.00,4,2,7, , , , ,5, , , , ,4,1,NA  ,0, , , ,NA   ,2,1, ,32,3649,99.29,77700,48.92,00000445,1304,0
2015,903,3,1,1,1,2,105,3,1,16974,17,31,8287.02,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,33,4916,81.2,77700,82.68,00001497,1625,0
2015,903,3,1,1,1,2,96,3,1,16974,17,31,8281.00,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,34,4844,28.53,77700,109.88,00001955,1753,0
2015,903,3,1,1,1,2,103,3,1,16974,17,31,8278.05,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,35,2866,81.4,77700,97.29,00000897,1066,0
2015,903,3,1,1,1,2,173,3,1,16974,17,31,8149.00,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,36,6181,75.2,77700,59.19,00000619,1841,0
2015,903,3,1,1,1,2,113,3,1,16974,17,31,8043.09,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,39,3230,54.58,77700,74.45,00000857,901,0
2015,903,3,1,1,1,2,94,3,1,16974,17,31,8282.01,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,41,4290,52.49,77700,85.31,00001191,1309,0
2015,903,3,1,1,1,2,94,3,1,16974,17,31,8300.07,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,43,5039,85.77,77700,73.38,00000983,1269,0
2015,903,3,1,3,3,3,650,3,1,16974,17,31,2426,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1, ,44,5831,58.65,77700,52.1,00000765,2126,0
2015,903,3,1,1,2,2,330,3,1,16974,17,31,407.00,4,2,7, , , , ,5, , , , ,4,1,NA  ,0, , , ,NA   ,2,1,6,47,3123,28.88,77700,116.33,00000608,943,0
2015,903,3,1,3,3,3,1650,3,1,16974,17,31,1606.01,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1, ,48,3490,60.69,77700,84.89,00000573,1077,0
2015,903,3,1,3,3,3,2350,3,1,16974,17,31,631.00,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1, ,49,2173,16.38,77700,157.55,00000314,197,0
2015,903,3,1,3,3,3,1600,3,1,16974,17,31,1405.00,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1, ,50,3679,66.87,77700,66.92,00000519,1102,0
2015,903,3,1,3,1,3,425,3,1,16974,17,31,8207.00,2,5,5, , , , ,8, , , , ,2,5,NA  ,0, , , ,NA   ,2,1, ,51,6786,55.29,77700,82.4,00001789,2360,0
2015,903,3,1,1,3,2,5702,3,1,16974,17,31,314.00,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,52,5150,25.75,77700,141.29,00002160,196,0
2015,903,3,1,1,3,2,205,3,1,16974,17,31,2517.00,4,2,7, , , , ,5, , , , ,4,1,NA  ,0, , , ,NA   ,2,1,6,53,1495,99.06,77700,46.74,00000230,493,0
2015,903,3,1,1,3,2,263,3,1,16974,17,31,8128.02,2,2,5, , , , ,5, , , , ,1,2,0200,0, , , ,NA   ,2,1, ,54,2444,34.04,77700,134.55,00000594,402,0
2015,903,3,1,1,3,2,184,3,1,16974,17,31,8159.00,2,2,5, , , , ,5, , , , ,1,2,0208,0, , , ,NA   ,2,1, ,55,4392,53.23,77700,75.2,00001236,880,0
2015,903,3,1,3,2,3,1600,3,1,16974,17,31,107.02,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1, ,56,5143,77.25,77700,58.31,00000470,578,0
2015,903,3,1,1,1,2,116,3,1,16974,17,31,8253.03,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,57,3872,15.08,77700,81.37,00001000,1166,0
2015,903,3,1,1,1,1,450,3,1,16974,17,31,408.00,4,5,7, , , , ,8, , , , ,4,5,NA  ,0, , , ,NA   ,2,1,6,60,1514,26.49,77700,109.82,00000318,465,0
2015,903,3,1,1,1,1,52,3,3,16974,17,31,1504.02,2,2,5, , , , ,5, , , , ,1,2,0274,0,4, , ,NA   ,2,2, ,62,3886,39.01,77700,82.67,00000776,1347,0
2015,903,3,1,3,3,3,400,3,3,16974,17,31,2435.00,1,5,5, , , , ,8, , , , ,1,5,NA  ,0,3, , ,NA   ,2,1, ,63,2937,32.24,77700,167.31,00000827,549,0
2015,903,3,1,3,3,3,220,3,3,16974,17,31,8281.00,3,5,6, , , , ,8, , , , ,1,5,NA  ,0,1, , ,NA   ,2,1, ,64,4844,28.53,77700,109.88,00001955,1753,0
2015,903,3,1,3,1,3,1100,3,3,16974,17,31,8206.05,2,5,5, , , , ,8, , , , ,2,5,NA  ,0,5, , ,NA   ,2,1, ,65,4604,70.03,77700,58.44,00000469,628,0
2015,903,3,1,3,3,3,1200,3,3,16974,17,31,2422.00,1,5,5, , , , ,8, , , , ,1,5,NA  ,0,1,3, ,NA   ,2,1, ,67,3590,29.69,77700,116.99,00000721,1584,0
2015,903,3,1,1,2,1,100,3,3,16974,17,31,8190.00,2,2,5, , , , ,5, , , , ,1,2,0115,0,1, , ,NA   ,2,2, ,68,5117,5.86,77700,177.71,00001348,1502,0
2015,903,3,1,1,1,1,292,3,5,16974,17,31,901.00,2,2,5, , , , ,5, , , , ,1,2,0083,0, , , ,NA   ,2,1, ,69,3405,12.51,77700,118.88,00001173,1325,0
2015,953,3,1,1,3,2,167,3,1,16974,17,31,3301.00,2,2,2, , , , ,2, , , , ,1,2,0319,7, , , ,NA   ,2,1,6,79,16735,49.09,77700,174.89,00004075,963,0
2015,953,3,1,1,1,1,1080,3,1,16974,17,31,814.03,2,5,5, , , , ,8, , , , ,1,5,0360,0, , , ,NA   ,2,1,6,827,6229,34.15,77700,193.26,00001630,59,0
2015,953,3,1,1,3,2,243,3,1,16974,17,31,8310.00,2,5,5, , , , ,8, , , , ,1,5,0106,0, , , ,NA   ,2,1,6,1085,2138,18.99,77700,190.62,00000685,798,0
2015,1039,3,1,1,1,1,341,3,1,16974,17,31,8331.00,2,2,2, , , , ,2, , , , ,1,1,0414,3, , , ,NA   ,2,1,6,590,6895,35.66,77700,211.61,00002249,589,0
2015,1047,3,1,1,3,2,263,3,1,16974,17,31,8069.00,2,5,5, , , , ,8, , , , ,1,5,0833,3, , , ,NA   ,2,1,6,52,4713,46.36,77700,85.09,00001456,915,0
2015,1074,5,1,1,3,1,280,3,3,16974,17,31,8020.02,2,2,5, , , , ,5, , , , ,2,1,0079,0,1, , ,NA   ,2,1,6,33,5071,18.52,77700,173.35,00001488,1638,0
2015,1074,5,1,1,2,1,30,3,1,16974,17,31,8189.00,3,3,3, , , , ,3, , , , ,1,2,0123,0, , , ,07.02,2,2,6,105,4299,16.96,77700,112.38,00001080,1397,0
2015,1154,1,1,1,3,1,110,3,1,16974,17,31,707.00,2,5,5, , , , ,8, , , , ,1,5,0350,0, , , ,NA   ,2,2, ,4,3481,26.49,77700,194.95,00000715,841,0
2015,1154,1,1,1,3,1,173,3,1,16974,17,31,1801.00,1,5,5, , , , ,8, , , , ,1,5,0081,3, , , ,NA   ,2,1, ,8,6156,49.55,77700,84.51,00001595,1898,0
2015,1154,1,1,1,1,1,70,3,1,16974,17,31,8255.01,2,5,5, , , , ,8, , , , ,2,5,0037,3, , , ,NA   ,2,1, ,39,5583,89.22,77700,81.42,00001372,1599,0
2015,1154,1,1,1,1,2,100,3,1,16974,17,31,632.00,2,5,5, , , , ,8, , , , ,1,5,0318,0, , , ,NA   ,2,1, ,95,6345,20.69,77700,154.49,00001287,302,0
2015,1154,1,1,1,1,2,98,3,1,16974,17,31,8168.00,2,2,5, , , , ,5, , , , ,1,2,0093,3, , , ,NA   ,2,1, ,164,5368,66.13,77700,75.94,00001471,1638,0
2015,1154,1,1,1,1,1,417,3,1,16974,17,31,202.00,2,5,5, , , , ,8, , , , ,1,5,0128,3, , , ,NA   ,2,1, ,226,6676,46.05,77700,100.0,00001677,1870,0
2015,1154,1,1,1,2,2,259,3,1,16974,17,31,632.00,2,2,5, , , , ,5, , , , ,1,2,0120,0, , , ,NA   ,2,1, ,293,6345,20.69,77700,154.49,00001287,302,0
2015,1354,1,1,1,2,1,15,3,3,16974,17,31,8268.00,2,5,3, , , , ,8, , , , ,2,5,0048,0,3, , ,NA   ,2,3,6,3263,5436,87.49,77700,43.4,00001050,1860,0
2015,1622,5,1,1,3,1,137,3,1,16974,17,31,305.00,1,1,5, , , , ,5, , , , ,2,1,0087,0, , , ,NA   ,2,1, ,38,6395,43.94,77700,103.71,00001356,1606,0
2015,1815,5,1,1,2,1,40,3,3,16974,17,31,5305.01,2,5,3, , , , ,8, , , , ,2,5,0146,0,9, , ,NA   ,2,3,6,210,5402,99.52,77700,51.47,00000918,2073,0
2015,1936,3,1,1,3,1,417,3,4,16974,17,31,1408.00,2,5,5, , , , ,8, , , , ,2,5,0082,0, , , ,NA   ,2,1,6,40,6825,54.4,77700,114.11,00001284,1590,0
2015,2221,1,1,1,1,1,323,3,1,16974,17,31,8391.00,2,2,5, , , , ,5, , , , ,1,2,0232,6, , , ,NA   ,2,1,6,601,4350,41.59,77700,239.53,00000637,75,0
2015,2234,1,1,1,1,1,125,2,4,16974,17,31,8284.01,2,5,5, , , , ,8, , , , ,2,5,0043,0, , , ,NA   ,2,1, ,58,3644,29.45,77700,105.48,00001196,1480,0
