address,category,location_id,name,zip_code,lat,lon
"1910 S Kedzie Ave, Chicago, IL 60623",mobile-pantry,8783,Worship Warming Center,60623,41.8550203,-87.7056029
"6131 N Newark Ave, Chicago, IL 60631, USA",pantry,8782,Windy City Community Church,60631,41.9864475,-87.796099
"2619 E 76th St, Chicago, IL 60649",pantry,8781,Windsor Park Lutheran Church,60649,41.7570786,-87.56067870393883
"5816 W Division St, Chicago, IL 60651",soup-kitchen,8776,Westside Health Authority,60651,41.9024758,-87.7386021
"1538 W 69th St, Chicago, IL 60636",pantry,8773,We Do Care,60636,41.76874455,-87.6630469774328
"6601 N Western Ave, Chicago, IL 60645",produce-mobile,8772,Warren Park Produce Program Formerly Rogers Park PM,60645,42.001493,-87.68987
"843 W Garfield Blvd, Chicago, IL 60621",pantry,8771,Visitation Parish Food Pantry,60621,41.793593599999994,-87.64726100138017
"1545 W Morse Ave, Chicago, IL 60626",soup-kitchen,8765,United Church of Rogers Park,60626,42.00778200613258,-87.6684793702909
"1818 W 74th St, Chicago, IL 60636",pantry,8762,Uncle Shack Food Blessing,60636,41.7595418,-87.66940610781586
"20 S Campbell Ave, Chicago, IL 60612",pantry,8758,TSA: Midwest Corps Pantry,60612,41.880926674424636,-87.688745
"5036 W 47th St, Chicago, IL 60638",pantry,8757,TSA: Midway Citadel,60638,41.80784945,-87.74980370999793
"5020 N Pulaski Rd, Chicago, IL 60641, USA",pantry,8754,TSA: Mayfair Food Pantry,60630,41.9693225,-87.7280622
"3621 W 24th St, Chicago, IL 60623",pantry,8756,TSA: La Villita Corps,60623,41.84794218081924,-87.71571957142422
"825 N Christiana Ave, Chicago, IL 60651, USA",pantry,21319,TSA: Harbor Light,60651,41.89583145,-87.7093506
"845 W 69th St, Chicago, IL 60621, USA",pantry,8752,TSA: Englewood Red Shield Cent,60621,41.76859515,-87.64623984942423
"1 N Ogden Ave, Chicago, IL 60607",pantry,8750,TSA: Chicago Temple,60607,41.8840513,-87.6634648
"5950 S Spaulding Ave, Chicago, IL 60629",pantry,8749,TSA: Chicago Lawn,60629,41.78506841391608,-87.70584275106619
"9046 S Mackinaw Ave, Chicago, IL 60617",pantry,8743,Trinity Resurrection United,60617,41.73137624018092,-87.54303673462908
"1415 W 104th St, Chicago, IL 60643",pantry,8741,TRCDO Harvest for the World,60643,41.704641499999994,-87.65814959522226
"1510 W 95th St, Chicago, IL 60643, USA",pantry,8736,Third Baptist Church of Chicago,60643,41.721366,-87.66100233333333
"11705 S Elizabeth St, Chicago, IL 60643",soup-kitchen,8735,The Seeds Center of Maple Park,60643,41.68111234309528,-87.65286487137763
"4850 N Sawyer Ave, Chicago, IL 60625",pantry,8733,The Holy Order of Cherubim and Seraphim Movement,60625,41.969943900000004,-87.7101176163302
"2711 W Lawrence Ave, Chicago, IL 60625, USA",pantry,8552,The Friendship Center,60625,41.96835255,-87.69681678917675
"8600 South Kilpatrick Avenue, Chicago, IL 60652, USA",pantry,19531,The Church of Pentocost USA INC.,60652,41.7360487,-87.73883688616132
"4130 S Indiana Ave, Chicago, IL 60653",pantry,8727,Tabernacle MBC Food Pantry,60653,41.8191855,-87.62178137920193
"1010 W Webster Ave, Chicago, IL 60614, USA",pantry,8726,SVDP: Parish Food Pantry,60614,41.9222041,-87.65390949028962
"5533 S Sawyer Ave, Chicago, IL 60629",pantry,8725,SVDP: District IX Food Pantry,60629,41.7931408,-87.70404840288461
"2145 N Halsted St , Chicago, IL 60614",pantry,8724,SVDP: Center Food Pantry,60614,41.921406399999995,-87.64803992427716
"500 W 119th St, Chicago, IL 60628",pantry,8721,Straford Memorial Church,60628,41.6779185,-87.6322686
"4827 N Kenmore Ave, Chicago, IL 60640","pantry,soup-kitchen",8718,St. Thomas of Canterbury,60640,41.96997495,-87.65585615327599
