,zipcode,Chains,Fast Food,grocery_store,fs_ratio
0,60601,9.0,53.0,4.0,12.6
1,60602,5.0,19.0,0.0,25.0
2,60603,5.0,18.0,1.0,12.0
3,60604,4.0,20.0,0.0,25.0
4,60605,5.0,23.0,3.0,7.25
5,60606,13.0,48.0,0.0,62.0
6,60607,9.0,35.0,3.0,11.25
7,60608,11.0,34.0,14.0,3.066666666666667
8,60609,10.0,31.0,5.0,7.0
9,60610,6.0,22.0,7.0,3.625
10,60611,11.0,40.0,4.0,10.4
11,60612,3.0,20.0,1.0,12.0
12,60613,9.0,21.0,5.0,5.166666666666667
13,60614,16.0,49.0,11.0,5.5
14,60615,3.0,14.0,5.0,3.0
15,60616,4.0,24.0,6.0,4.142857142857143
16,60617,15.0,30.0,8.0,5.111111111111111
17,60618,23.0,33.0,9.0,5.7
18,60619,9.0,19.0,4.0,5.8
19,60620,14.0,31.0,11.0,3.8333333333333335
20,60621,2.0,14.0,2.0,5.666666666666667
21,60622,5.0,19.0,3.0,6.25
22,60623,7.0,14.0,7.0,2.75
23,60624,4.0,7.0,3.0,3.0
24,60625,10.0,24.0,4.0,7.0
25,60626,7.0,21.0,6.0,4.142857142857143
26,60628,9.0,21.0,3.0,7.75
27,60629,12.0,16.0,9.0,2.9
28,60630,13.0,19.0,5.0,5.5
29,60631,2.0,4.0,1.0,3.5
30,60632,11.0,39.0,10.0,4.636363636363637
31,60633,1.0,2.0,0.0,4.0
32,60634,15.0,23.0,5.0,6.5
33,60636,8.0,16.0,3.0,6.25
34,60637,2.0,6.0,4.0,1.8
35,60638,11.0,30.0,5.0,7.0
36,60639,12.0,44.0,16.0,3.3529411764705883
37,60640,9.0,17.0,9.0,2.7
38,60641,10.0,20.0,3.0,7.75
39,60642,4.0,11.0,1.0,8.0
40,60643,13.0,16.0,4.0,6.0
41,60644,3.0,7.0,3.0,2.75
42,60645,5.0,3.0,2.0,3.0
43,60646,3.0,7.0,3.0,2.75
44,60647,20.0,35.0,15.0,3.5
45,60649,8.0,14.0,3.0,5.75
46,60651,7.0,13.0,3.0,5.25
47,60652,2.0,20.0,1.0,11.5
48,60653,4.0,3.0,2.0,2.6666666666666665
49,60654,9.0,19.0,2.0,9.666666666666666
50,60655,8.0,8.0,1.0,8.5
51,60656,4.0,5.0,2.0,3.3333333333333335
52,60657,12.0,30.0,7.0,5.375
53,60659,9.0,21.0,3.0,7.75
54,60660,5.0,18.0,3.0,6.0
55,60661,5.0,26.0,4.0,6.4
56,60666,1.0,31.0,0.0,33.0
57,60707,5.0,5.0,4.0,2.2
59,60827,0.0,0.0,1.0,0.5
